船 长 	captain
勇 敢 ... 但 愚 蠢 ， 老 朋 友 	brave ... but foolish , my old jedi friend
你 们 人 真 是 少 得 可 怜 	you 're impossibly outnumbered
我 可 不 这 么 认 为 	i do n't think so
走 着 瞧 	we 'll see
腿 不 能 动 ， 我 需 要 保 养 了 	my legs are n't moving . i must need maintenance
怎 么 这 么 吵 ？	what 's all this noise ?
打 仗 ！	a battle !
搞 错 了 ！	there 's been some terrible mistake !
我 的 内 建 程 式 是 礼 宾 不 是 搞 破 坏 ！	i 'm programmed for etiquette , not destruction !
去 死 ， 绝 地 狗 杂 种 ！	die , jedi dogs ! oh !
噢 ！ 我 在 说 什 么 ？	what did i say ?
天 啊 ， 真 是 抱 歉 到 了 极 点 	oh , dear . i 'm terribly sorry about all this
抱 歉 ， 我 被 绊 住 了 ， 起 不 来 	excuse me . i 'm trapped . i ca n't get up
你 说 这 叫 ... 外 交 解 决 途 径 ？	you call this a diplomatic solution ?
不 ... 这 叫 激 烈 的 争 辩 	no , i call it aggressive negotiations
收 到 ， 收 到 	uh-oh . -- roger , roger
R2 ， 你 在 这 做 什 么 ？	r2 , what are you doing here ?
你 在 做 什 么 ？	what are you doing ?
住 手 ！	stop that !
你 会 扯 断 ...	you 're going to strain something
我 的 脖 子 ！	my neck !
噢 ， 你 要 带 我 去 哪 里 ？	now where are you taking me ?
不 要 拖 那 么 用 力 	this is such a drag !
我 真 是 丈 二 金 刚 摸 不 着 头 绪 	i 'm quite beside myself
R2 ， 拜 托 小 心 点 	r2 , please be careful !
我 快 短 路 了 	you 're singeing my circuits !
好 ！ 头 有 接 正 吗 ？	yes , but is my head on straight ?
云 杜 大 师 ... 果 然 是 一 代 豪 侠 该 当 名 留 绝 地 圣 殿 	master windu ... you have fought gallantly ... worthy of recognition in the archives of the jedi order
现 在 ... 你 的 时 候 到 了 	now ... it is finished
投 降 ... 我 还 可 以 饶 你 一 命 	surrender ... and your lives will be spared
我 们 不 是 用 来 交 换 条 件 的 人 质 	we will not be hostages to be bartered , dooku !
既 然 如 此 ...	then ...
抱 歉 啦 ， 老 朋 友 	i 'm sorry , old friend
看 ！	look !
生 存 者 四 周 形 成 了 个 包 围 阵 地 	around the survivors a perimeter create
我 作 了 个 非 常 奇 怪 的 梦 	i 've had the most peculiar dream !
万 一 杜 酷 逃 走 ... 他 会 号 召 更 多 星 系 叛 变 	if dooku escapes ... rally more systems to his cause he will
抓 好 ！	hold on !
瞄 准 能 源 供 应 器 正 上 方 ！	aim right above the fuel cells !
非 常 犀 利 ， 小 徒 弟 	good call , my young padawan
绝 地 武 士 召 集 了 一 支 大 军 	the jedi have amassed a huge army
怎 么 可 能 	that does n't seem possible
这 么 短 的 时 间 怎 么 建 军 ？	how could the jedi come up with an army so quickly ?
全 部 机 器 人 都 送 上 战 场 	we must send all available droids into battle
敌 军 排 山 倒 海 而 来 	there are too many
飞 行 员 ， 降 落 在 集 合 区 ！	pilot , land in that assembly area !
是 的 ， 长 官 	yes , sir
长 官 ， 我 有 五 支 突 袭 队 ...	sir ...
等 待 您 下 令 ， 长 官 	i have five special commando units awaiting your orders , sir
带 我 到 前 进 指 挥 中 心 	to the forward command center take me
攻 击 联 盟 战 舰 ， 快 ！	attack those federation starships , quickly !
尤 达 大 师 ， 前 线 部 队 不 断 挺 进 	master yoda , all forward positions are advancing
很 好 ， 非 常 好 	very good . very good
战 况 越 来 越 不 利 	this is not looking good at all !
我 方 战 舰 要 退 回 太 空 中 	we must get the starships back into space
非 下 令 撤 退 不 可 	we have to order a retreat
我 师 父 不 会 轻 松 放 过 ... 共 和 国 这 次 的 叛 变 行 动 	my master will never allow the republic ... to get away with this treachery
我 要 让 战 士 们 躲 进 地 下 墓 穴 	i 'm sending my warriors to hide in the catacombs
终 极 武 器 设 计 图 ... 绝 不 能 让 绝 地 武 士 发 现 	the jedi must not find our designs for the ultimate weapon
计 划 若 曝 光 ， 我 们 就 完 了 	if they find out what we are planning to build , we 're doomed
我 带 设 计 图 到 科 罗 森 去 	i will take the designs with me to coruscant
跟 我 师 父 在 一 起 安 全 多 了 	they will be much safer there with my master
将 火 力 集 中 在 最 近 的 战 舰 	concentrate all your fire on the nearest starship
是 的 ， 长 官 	yes , sir
所 有 象 限 仪 调 至 515 区 	move all quadrants to sector 515
看 那 边 ！	look over there !
是 杜 酷 ， 把 他 打 下 来 ！	it 's dooku ! shoot him down !
没 有 飞 弹 了 ， 长 官 	we 're out of rockets , sir
跟 着 他 ！	follow him !
我 们 需 要 援 兵 ！	we 're gonna need some help !
没 有 时 间 ！	there is n't time !
安 纳 金 和 我 可 以 应 付 	anakin and i can handle this !
降 落 ！	put the ship down !
安 纳 金 ！	anakin !
大 敌 当 前 怎 能 儿 女 情 长 ！	do n't let your personal feelings get in the way !
跟 紧 那 辆 飞 行 机 车 ！	follow that speeder !
降 下 去 ！	lower the ship !
我 一 个 人 对 付 不 了 杜 酷 ！	i ca n't take dooku alone !
我 需 要 你 帮 忙 	i need you !
逮 到 他 ， 战 争 立 刻 就 结 束 了 ！	if we catch him , we can end this war right now !
我 们 有 要 务 在 身 ！	we have a job to do !
我 管 不 了 那 么 多 ！	i do n't care ! put the ship down !
你 会 被 逐 出 绝 地 武 士 行 列 ！	you will be expelled from the jedi order !
我 不 能 丢 下 她 	i ca n't leave her !
冷 静 想 想 	come to your senses !
如 果 帕 米 是 你 ， 她 会 怎 么 做 	what do you think padmé would do were she in your position ?
她 会 尽 她 应 尽 的 义 务 	she would do her duty
机 器 人 军 队 全 面 撤 退 了 	the droid army is in full retreat
很 好 ， 司 令 官 	well done , commander
找 艘 太 空 船 给 我 	bring me a ship
该 为 你 今 天 杀 害 的 ... 绝 地 武 士 偿 命 了 ， 杜 酷 	you 're gonna pay for all the jedi that you killed today , dooku
一 起 攻 击 ， 你 慢 慢 从 ...	we 'll take him together
不 ， 我 现 在 就 杀 了 他 ！	i 'm taking him now !
不 ， 安 纳 金 ！	no , anakin ! no !
看 到 了 吧 ， 我 的 力 量 远 超 过 你 	as you see , my jedi powers are far beyond yours
还 不 退 下 ？	now ... back down
碍 难 照 办 	i do n't think so
肯 诺 比 大 师 ， 你 真 叫 我 失 望 	master kenobi , you disappoint me
枉 费 尤 达 那 么 推 崇 你 	yoda holds you in such high esteem
本 事 不 过 如 此 	surely you can do better
你 还 好 吧 ？	are you all right ?
赶 快 回 前 进 指 挥 中 心 去 	we 'd better get back to the forward command center
不 ， 不 	no
集 结 你 所 有 的 部 队 	gather what troops you can
我 们 得 赶 去 那 座 停 机 中 心 	we 've got to get to that hangar
找 艘 运 输 工 具 ， 快 ！	get a transport . hurry !
立 刻 照 办 	right away
很 勇 敢 哦 ， 小 男 孩 	brave of you , boy
但 ， 我 以 为 你 学 聪 明 了 	but i would have thought you had learned your lesson
我 一 向 学 得 比 较 慢 	i am a slow learner . -- anakin !
尤 达 大 师 	master yoda
杜 酷 伯 爵 	count dooku
这 是 你 最 后 一 次 干 涉 我 们 的 事 	you have interfered with our affairs for the last time
你 的 力 量 变 强 了 ， 杜 酷 	powerful you have become , dooku
我 感 觉 到 你 体 内 的 黑 暗 势 力 	the dark side i sense in you
我 比 任 何 绝 地 武 士 都 强 	i 've become more powerful than any jedi
即 使 是 你 	even you
你 该 学 的 还 多 着 呢 	much to learn you still have
显 然 ， 我 们 无 法 用 ... 对 原 力 的 见 解 分 高 下 那 只 好 用 剑 术 决 胜 负 了 	it is obvious that this contest cannot be decided ... by our knowledge of the force ... but by our skills with a lightsaber
技 术 还 不 错 ， 老 徒 弟 	fought well you have , my old padawan
才 刚 开 始 呢 	this is just the beginning
原 力 与 我 们 同 在 ， 西 帝 大 师 	the force is with us , master sidious
欢 迎 归 来 ， 提 拉 诺 斯 大 公 	welcome home , lord tyranus
做 得 非 常 好 	you have done well
我 有 个 好 消 息 ， 大 帝 	i have good news for you , my lord
战 争 已 经 开 始 了 	the war has begun
完 美 ， 一 切 按 照 计 划 进 行 	excellent . everything is going as planned
你 相 信 杜 酷 伯 爵 说 的 话 吗 ？ 他 说 西 帝 已 经 掌 控 了 参 议 院 	do you believe what count dooku said about sidious controlling the senate ?
我 总 感 觉 不 对 劲 	it does n't feel right
杜 酷 已 经 加 入 黑 暗 势 力 	joined the dark side dooku has
谎 言 ， 欺 骗 ... 制 造 猜 忌 是 他 的 拿 手 好 戏 	lies , deceit ... creating mistrust are his ways now
话 虽 如 此 ...	nevertheless ...
我 们 最 好 还 是 多 留 意 参 议 院 	i feel we should keep a closer eye on the senate
我 同 意 	i agree
你 徒 弟 呢 ？	where is your apprentice ?
护 送 艾 米 达 拉 议 员 回 那 卜 卜 星 	on his way to naboo , escorting senator amidala home
没 有 复 制 人 ， 我 们 真 的 赢 不 了 	i have to admit that without the clones , it would not have been a victory
赢 ？	victory ?
你 说 赢 吗 ， 欧 比 王 大 师 ？	victory , you say ?
这 不 是 胜 利 	master obi-wan , not victory
黑 暗 势 力 的 裹 尸 布 已 被 掀 开 	the shroud of the dark side has fallen
复 制 人 大 战 才 刚 开 始 呢 	begun the clone war has
你 听 到 没 有 ？	did you hear that ?
他 们 毁 坏 了 主 反 应 堆 ， 这 下 完 了 	they shut down the main reactor . we 'll be destroyed for sure
真 是 疯 狂 	this is madness
我 们 死 定 了 	we 're doomed
公 主 这 回 没 希 望 了 	there 'll be no escape for the princess this time
什 么 声 音 ？	what 's that ?
R2-D2 ， 你 在 哪 里 ？	r2-d2 , where are you ?
总 算 找 到 了 ！	at last
你 跑 哪 去 了 ？	where have you been ?
他 们 快 来 了 ， 怎 么 办 ？	they 're heading in this direction . what are we going to do ?
我 们 会 被 发 配 边 疆 或 被 压 成 铁 皮 	we 'll be sent to the kessel spice mines or smashed into who knows what
等 一 下 ， 你 去 哪 里 ？	wait a minute . where are you going ?
" 死 星 " 的 设 计 图 不 在 计 算 机 里 	the death star plans are not in the main computer
你 们 截 收 的 资 料 呢 ？	where are those transmissions you intercepted ?
设 计 图 在 哪 里 ？	what have you done with those plans ?
我 们 没 有 截 收 数 据 ...	we intercepted no transmissions
这 是 使 节 舰 艇 ...	this is a consular ship
我 们 负 有 外 交 任 务 	we 're on a diplomatic mission
使 节 舰 艇 ？ 那 么 大 使 何 在 ？	if this is a consular ship , where is the ambassador ?
队 长 ， 把 这 拆 了 也 要 找 到 	commander , tear this ship apart until you 've found those plans !
舰 上 的 人 全 部 要 活 捉 ！	and bring me the passengers ! i want them alive !
发 现 一 个 ， 击 昏 就 行 了 	there 's one . set for stun
她 没 事 ， 去 报 告 维 德 勋 爵 	she 'll be all right . inform lord vader we have a prisoner
喂 ， 没 授 权 不 能 进 去 	hey . you 're not permitted in there . it 's restricted
你 会 被 他 们 关 机 	you 'll be deactivated for sure
骂 我 " 不 用 大 脑 " ？ 死 胖 子 ！	do n't call me a mindless philosopher , you overweight glob of grease
快 别 让 人 看 见 	come out , before somebody sees you
秘 密 任 务 ？	secret mission ?
什 么 设 计 图 ？	what plans ?
胡 说 ！	what are you talking about ?
我 可 不 进 去 ...	i 'm not getting in there
我 一 定 会 后 悔 ...	i 'm going to regret this
又 跑 了 一 个 	there goes another one
别 射 ， 没 有 生 物 	hold your fire . there 's no life forms
大 概 是 短 路 造 成 的 	it must have short circuited
奇 怪 ， 损 坏 看 来 不 严 重 嘛 	that 's funny . the damage does n't look as bad from out here
这 玩 意 保 险 吗 ？	are you sure this thing is safe ?
黑 武 士 ， 你 真 胆 大 包 天 	darth vader . only you could be so bold
帝 国 议 会 不 会 袖 手 的 	the imperial senate will not sit still for this
你 敢 攻 击 使 节 舰 艇 ...	when they hear you 've attacked a diplomatic --
别 装 模 作 样 ， 公 主 殿 下 	do n't act so surprised , your highness
这 回 妳 没 借 口 了 	you were n't on any mercy mission this time
叛 军 传 好 多 数 据 给 你 们 	several transmissions were beamed to this ship by rebel spies
我 要 知 道 设 计 图 的 下 落 	i want to know what happened to the plans they sent you
我 听 不 懂 你 的 话 	i do n't know what you 're talking about
我 是 帝 国 议 会 成 员 因 公 到 奥 德 兰 星 ...	i 'm a member of the imperial senate on a diplomatic mission to alderaan
妳 跟 叛 军 一 道 ， 是 个 叛 徒 ！	you are part of the rebel alliance and a traitor
带 走 ！	take her away !
这 样 做 很 危 险 	holding her is dangerous
万 一 消 息 走 漏 议 会 可 能 会 同 情 叛 军 	if word of this gets out , it could generate sympathy for the rebellion in the senate
间 谍 跟 她 有 联 系 	i have traced the rebel spies to her
要 靠 她 找 出 叛 军 基 地 	now she is my only link to finding their secret base
她 死 也 不 会 招 的 	she 'll die before she 'll tell you anything
我 有 办 法 	leave that to me
发 出 求 救 信 号 跟 议 会 说 无 人 生 还 	send a distress signal , and then inform the senate that all aboard were killed
维 德 勋 爵 ， 设 计 图 不 在 舰 上 但 也 没 传 出 去 	lord vader , the battle station plans are not aboard this ship ... and no transmissions were made
刚 才 有 逃 生 舱 射 出 去 但 上 头 没 生 物 	an escape pod was jettisoned during the fighting , but no life forms were aboard
设 计 图 一 定 在 上 面 	she must have hidden the plans in the escape pod
派 人 去 追 回 来 	send a detachment down to retrieve them
你 要 亲 自 处 理 ， 不 得 有 误 	see to it personally , commander . there 'll be no one to stop us this time
是 	yes , sir
怎 么 会 这 么 倒 霉 ？	how did we get into this mess ?
真 是 搞 不 懂 	i really do n't know how
好 像 生 来 就 要 受 罪 ， 命 中 注 定 	we seem to be made to suffer . it 's our lot in life
歇 一 会 吧 ， 我 快 散 掉 了 	i 've got to rest before i fall apart
关 节 快 僵 硬 了 	my joints are almost frozen
这 里 真 是 荒 凉 	what a desolate place this is
你 往 哪 儿 去 ？	where do you think you 're going ?
我 不 去 那 边 	well , i 'm not going that way
太 崎 岖 ， 这 边 好 走 多 了 	it 's much too rocky . this way is much easier
凭 什 么 说 那 边 有 小 区 ？	what makes you think there are settlements over there ?
别 跟 我 卖 学 问 	do n't get technical with me
什 么 任 务 ？	what mission ?
胡 说 八 道 ！	what are you talking about ?
我 快 受 够 了 ！	i 've just about had enough of you
你 去 啊 ， 保 证 你 一 天 之 内 当 机 	go that way
变 成 废 铁 ！	you 'll be malfunctioning within a day , you nearsighted scrap pile
到 时 你 可 别 求 我 救 你 我 才 不 理 你 呢 	and do n't let me catch you following me , begging for help ... because you wo n't get it
不 ， 我 就 是 不 走 那 边 ！	no more adventures . i 'm not going that way
那 个 什 么 烂 东 西 ！	that malfunctioning little twerp
都 是 他 害 的 	this is all his fault
骗 我 往 这 边 走 ， 但 他 也 不 好 过 	he tricked me into going this way ... but he 'll do no better
等 一 下 ...	wait
什 么 玩 意 ？	what 's that ?
运 输 艇 ！	a transport
得 救 了 ！	i 'm saved
这 里 ！	over here !
喂 ， 救 命 啊 ...	hey ! hey ! help !
救 命 啊 ！	please help !
R2 ？	r2 ?
R2D2 ， 果 然 是 你 ！	r2-d2 , it is you ! it is you !
逃 生 舱 里 有 人 ， 脚 印 是 朝 那 边 	someone was in the pod . the tracks go off in this direction
看 ， 是 机 器 人 	look , sir . droids
他 们 停 下 来 了 	we stopped
醒 一 醒 ！	wake up . wake up !
我 们 完 了 	we 're doomed
我 们 会 不 会 被 熔 掉 ？	do you think they 'll melt us down ?
别 开 枪 ！	do n't shoot
怎 么 没 完 没 了 ？	will this never end ?
好 ， 我 们 走 吧 	fine . let 's go
卢 克 ！	luke !
卢 克 ！	luke !
跟 叔 叔 说 ， 翻 译 要 能 懂 波 奇 语 	luke , tell your uncle if he gets a translator , be sure it speaks bocce
恐 怕 没 什 么 选 择 ， 但 我 会 提 醒 他 	does n't look like we have much choice , but i 'll remind him
我 们 要 红 色 那 个 	yeah , we 'll take that red one
不 是 那 一 个 	no , not that one
你 有 设 定 外 交 礼 仪 程 序 ？	you . i suppose you 're programmed for etiquette and protocol
礼 仪 ？	protocol ?
这 是 我 的 专 长 	it 's my primary function , sir
我 深 谙 各 国 习 俗 ...	i am well versed in all the customs --
你 不 合 我 的 需 要 	i have no need for a protocol droid
在 这 种 环 境 下 ， 当 然 	of course you have n't , sir . not in an environment such as this
所 以 我 还 会 ...	that 's why i have been programmed --
我 要 懂 得 ... 喷 雾 器 二 元 语 言 的 机 器 人 	i need a droid who understands the binary language of moisture vaporators
喷 雾 器 ？	vaporators ?
我 老 早 就 在 设 定 装 卸 机 跟 喷 雾 器 非 常 类 似 	sir , my first job was programming binary load lifters ... very similar to your vaporators in most respects
懂 波 奇 语 吗 ？	can you speak bocce ?
那 可 不 ？	of course
我 的 第 二 语 言 ...	it 's like a second language
够 了 ， 我 买 这 个 ， 卢 克 	all right . shut up . i 'll take this one
把 这 两 个 搬 到 车 库 	take these two to the garage
晚 饭 前 清 干 净 	i want them cleaned up before dinner
我 要 去 拿 电 源 转 换 器 	but i was going into tosche station to pick up some power converters
工 作 做 好 才 去 跟 朋 友 混 	you can waste time with your friends when your chores are done
快 去 干 活 	now come on . get to it
好 吧 ， 走 	all right . come on
那 个 红 的 ， 快 来 	and the red one . come on
快 啊 ， 走 了 	come on , red . let 's go
欧 文 叔 叔 	uncle owen . -- yeah ?
这 个 R2 的 驱 动 机 坏 了 	this r2 unit has a bad motivator . look
你 们 想 骗 我 的 钱 ？	hey , what are you trying to push on us ?
对 不 起 ， 那 一 个 状 况 很 好 物 美 价 廉 	excuse me , sir , but that r2 unit is in prime condition , a real bargain
欧 文 叔 叔 	uncle owen , what about that one ?
那 个 怎 么 样 	what about that blue one ?
换 蓝 色 那 个 好 了 	we 'll take that one
我 包 君 满 意 ， 它 状 况 极 佳 	take this away . you 'll be pleased with that one , sir . he really is in first class condition
我 曾 跟 它 共 事 ， 它 来 了 	i 've worked with him before . here he comes
好 ， 走 吧 	okay . let 's go
我 救 你 一 命 	do n't you forget this
连 我 都 不 知 道 干 嘛 替 你 说 情 	why i should stick my neck out for you is quite beyond my capacity
感 谢 造 物 者 ， 洗 润 滑 澡 好 舒 服 	thank the maker . this oil bath is going to feel so good
身 上 都 是 沙 子 ， 快 不 能 动 了 	i 've got such a bad case of dust contamination , i can barely move
真 不 公 平 ， 毕 兹 说 得 对 ...	it just is n't fair . biggs is right
我 永 远 脱 离 不 了 	i 'm never gonna get out of here
我 能 不 能 效 劳 ？	is there anything i might do to help ?
除 非 你 能 移 星 换 日 加 快 收 成 ， 或 把 我 变 离 这 里 	no , not unless you can alter time , speed up the harvest ... or teleport me off this rock
恐 怕 不 行 	i do n't think so , sir
我 只 是 机 器 人 ， 不 懂 这 些 事 	i 'm only a droid and not very knowledgeable about such things
至 少 在 这 星 球 不 行 	not on this planet , anyway
我 甚 至 不 知 道 这 是 哪 里 	as a matter of fact , i 'm not even sure which planet i 'm on
反 正 是 宇 宙 中 最 烂 的 星 球 	well , if there 's a bright center to the universe ... you 're on the planet that it 's farthest from
我 明 白 了 ， 先 生 	i see , sir
叫 我 卢 克 好 了 	you can call me luke
知 道 了 ， 卢 克 先 生 	i see , sir luke
不 ， " 卢 克 " 就 好 了 	just luke
我 是 C3PO 最 像 人 类 的 机 器 人 	and i am c-3po , human cyborg relations
它 是 我 的 搭 档 R2D2	and this is my counterpart , r2-d2
你 好 	hello
你 有 很 多 焦 痕 	you got a lot of carbon scoring here
好 像 常 在 外 头 闯 荡 	looks like you boys have seen a lot of action
我 也 没 想 到 ... 我 们 参 加 起 义 ， 还 能 全 身 而 退 	with all we 've been through ... sometimes i 'm amazed we 're in as good condition as we are ... what with the rebellion and all
你 是 说 反 抗 帝 国 ？	you know of the rebellion against the empire ?
所 以 才 会 到 这 里 	that 's how we came to be in your service , if you take my meaning , sir
你 们 常 参 加 战 役 ？	have you been in many battles ?
好 几 场 ， 其 实 没 什 么 好 说 的 	several , i think . there 's not much to tell
我 不 过 是 个 通 译 ， 不 擅 长 讲 故 事 	i 'm not much more than an interpreter and not very good at telling stories
没 法 说 得 活 灵 活 现 	well , not at making them interesting , anyway
小 朋 友 ， 你 这 儿 卡 了 一 个 东 西 	well , my little friend ... you got something jammed in here real good
你 上 过 宇 宙 飞 船 ？	were you on a starcruiser or --
帮 助 我 ， 欧 比 王 肯 诺 比 	help me , obi-wan kenobi
我 只 能 靠 你 了 	you 're my only hope
那 是 什 么 ？	what 's this ?
什 么 是 什 么 ？	" what is what " ?
他 问 你 ， 那 是 什 么 ？	he asked you a question . what is that ?
帮 助 我 ， 欧 比 王 肯 诺 比 我 只 能 靠 你 了 	help me , obi-wan kenobi
帮 助 我 ， 欧 比 王 肯 诺 比 我 只 能 靠 你 了 	you 're my only hope
它 说 没 什 么 ， 故 障 了 	he says it 's nothing , sir , merely a malfunction
老 资 料 ， 别 管 它 	old data . pay it no mind
她 是 谁 ？	who is she ?
好 漂 亮 	she 's beautiful
我 也 不 清 楚 ... 帮 助 我 ， 欧 比 王 肯 诺 比 	i 'm afraid i 'm not quite sure , sir
她 可 能 跟 我 们 同 船 	i think she was a passenger on our last voyage
好 像 有 点 身 份 地 位 	a person of some importance , i believe
我 们 的 舰 长 ...	our captain was --
还 有 没 有 影 像 ？	is there any more to this recording ?
别 这 样 ， R2 ， 你 别 惹 麻 烦 	behave yourself , r2 . you 're going to get us into trouble
你 可 以 信 任 他 	it 's all right . you can trust him
他 是 我 们 的 新 主 人 	he 's our new master
我 只 能 靠 你 了 	you 're my only hope
它 说 它 属 于 欧 比 王 而 他 住 在 这 一 带 有 个 讯 息 要 给 他 	he says he 's the property of obi-wan kenobi , a resident of these parts ... and it 's a private message for him
我 也 不 懂 是 什 么 意 思 	frankly , i do n't know what he 's talking about
我 们 的 主 人 是 安 提 利 斯 舰 长 	our last master was captain antilles
但 出 了 事 之 后 R2 就 变 得 有 点 怪 	but with all we 've been through , this r2 unit has become a bit eccentric
欧 比 王 肯 诺 比 	obi-wan kenobi
会 不 会 是 班 肯 诺 比 ？	i wonder if he means old ben kenobi
你 明 白 它 说 的 话 ？	i beg your pardon , sir , but do you know what he 's talking about ?
我 不 认 识 什 么 欧 比 王 但 班 住 在 沙 海 那 头 	i do n't know anyone named obi-wan ... but old ben lives out beyond the dune sea
一 个 人 隐 居 在 那 里 	he 's kind of a strange old hermit
真 想 知 道 她 是 谁 	i wonder who she is
她 好 像 有 麻 烦 ， 最 好 从 头 听 起 	sounds like she 's in trouble . i better play back the whole thing
纪 录 系 统 被 栓 子 弄 短 路 了 	he says the restraining bolt has short circuited his recording system
如 果 把 限 制 栓 拿 掉 也 许 可 以 看 得 完 整 	he suggests that if you remove the bolt ... he might be able to play back the entire recording
我 想 反 正 你 太 小 ， 跑 不 掉 ...	oh , yeah . well ... i guess you 're too small to run away on me if i take this off
好 了 	there you go
怎 么 不 见 了 ？	where 'd she go ?
把 她 弄 回 来 ， 放 来 看 看 	bring her back . play back the entire message
放 什 么 ？	" what message " ?
刚 才 那 个 	the one you 've just been playing
存 在 你 身 上 的 讯 息 	the one you 're carrying inside your rusty innards
卢 克 ！	luke ! luke !
我 马 上 来 ， 婶 婶 	i 'll be right there , aunt beru
抱 歉 ， 好 像 有 些 失 灵 	i 'm sorry , sir , but he appears to have picked up a slight flutter
看 能 不 能 修 好 ， 我 就 回 来 	here . see what you can do with him . i 'll be right back
最 好 乖 乖 放 给 他 看 	just you reconsider playing that message for him
我 觉 得 他 不 喜 欢 你 	no , i do n't think he likes you at all
不 ， 我 也 不 喜 欢 你 	no , i do n't like you either
这 个 R2 可 能 是 赃 货 	i think that r2 unit might have been stolen
怎 么 说 ？	what makes you think that ?
它 存 着 一 份 讯 息 	i stumbled across a recording while i was cleaning him
说 它 主 人 叫 欧 比 王 肯 诺 比 	he says he belongs to someone called obi-wan kenobi
不 晓 得 是 不 是 老 班 	i thought he might have meant old ben
你 想 得 透 吗 ？	do you know what he 's talking about ?
它 跟 班 什 么 关 系 ？	i wonder if he 's related to ben
他 是 个 疯 老 头 	that wizard 's just a crazy old man
明 天 带 它 去 把 记 忆 洗 掉 	tomorrow , take that r2 unit to anchorhead and have its memory erased
它 是 我 们 的 了 	that 'll be the end of it . it belongs to us now
万 一 欧 比 王 来 找 它 呢 ？	but what if this obi-wan comes looking for him ?
不 会 的 	he wo n't
他 应 该 不 在 世 了 	i do n't think he exists anymore
跟 你 父 亲 约 同 时 去 世 	he died about the same time as your father
他 认 识 我 父 亲 ？	he knew my father ?
叫 你 别 想 这 事 	i told you to forget it
只 管 把 机 器 人 处 理 好 	your only concern is to prepare those new droids for tomorrow
明 早 让 它 们 去 操 作 压 缩 机 	in the morning , i want them on the south ridge , working on those condensers
好 	yes , sir
我 想 它 们 没 问 题 	i think those new droids are gonna work out fine
我 也 在 想 我 们 的 约 定 就 是 我 再 待 一 季 的 事 	in fact , i was also thinking about our agreement -- about me staying on another season
如 果 一 切 顺 利 ， 我 想 申 请 入 学 	if these new droids work out , i want to apply to the academy this year
在 收 成 之 前 ？	you mean the next semester before the harvest ?
反 正 机 器 人 多 得 很 	there 's more than enough droids
收 成 时 ， 我 最 需 要 帮 手 	harvest is when i need you the most
何 况 只 剩 一 季 	it 's only one season more
今 年 赚 到 钱 ， 可 多 请 人 手 明 年 你 就 能 入 学 	this year we 'll make enough on the harvest to hire more hands ... and then you can go to the academy next year
我 真 的 需 要 你 	you must understand i need you here , luke
但 又 要 等 一 年 	but it 's a whole 'nother year
只 差 一 季 了 	it 's only one more season
毕 兹 走 时 ， 你 也 这 么 说 	that 's what you said when biggs and tank left
你 去 哪 里 ？	where are you going ?
哪 里 也 去 不 了 ， 我 去 保 养 机 器 人 	looks like i 'm going nowhere . i have to go finish cleaning those droids
他 不 能 呆 一 辈 子 	owen , he ca n't stay here forever
他 的 朋 友 都 走 了 	most of his friends have gone
这 对 他 很 重 要 	it means so much to him
我 保 证 明 年 好 好 补 偿 他 	i 'll make it up to him next year . i promise
他 不 适 合 务 农 ， 太 像 他 爸 爸 了 	luke 's just not a farmer , owen . he has too much of his father in him
我 就 怕 这 点 	that 's what i 'm afraid of
干 嘛 躲 起 来 ？	what are you doing hiding back there ?
不 能 怪 我 ， 别 把 我 关 机 	it was n't my fault , sir . please do n't deactivate me
我 叫 它 别 走 ， 但 它 有 点 短 路 	i told him not to go , but he 's faulty , malfunctioning
一 直 在 说 什 么 任 务 	kept babbling on about his mission
糟 了 ...	oh , no
这 个 R2 老 出 状 况 	that r2 unit has always been a problem
这 类 机 器 人 真 是 的 	these astro droids are getting quite out of hand
连 我 都 弄 胡 涂 了 	even i ca n't understand their logic at times
我 怎 么 这 么 笨 ？	how could i be so stupid ?
不 见 踪 影 ， 可 恶 ！	he 's nowhere in sight . blast it !
对 不 起 ， 能 不 能 去 追 它 ？	pardon me , sir , but could n't we go after him ?
有 沙 漠 族 ， 太 危 险 了 	it 's too dangerous with the sandpeople around
明 早 再 说 	we 'll have to wait till morning
卢 克 ， 电 源 要 关 掉 了 	luke , i 'm shutting the power down
我 再 几 分 钟 就 好 	i 'll be there in a few minutes
这 下 好 玩 了 	boy , am i gonna get it
它 会 把 我 害 惨 	that little droid 's gonna cause me a lot of trouble
这 个 它 最 在 行 	he excels at that , sir
来 吧 	come on
有 没 有 看 见 卢 克 ？	have you seen luke this morning ?
他 说 有 事 情 要 办 ， 先 走 了 	he said he had things to do before he started today , so he left early
新 的 机 器 人 跟 着 去 了 ？	did he take those new droids with him ?
应 该 是 吧 	i think so
他 最 好 中 午 前 让 它 们 上 工 	he better have those units in the south range repaired by midday ... or there 'll be hell to pay
正 前 方 有 个 机 器 人 	there 's a droid on the scanner . dead ahead
可 能 是 我 们 的 R2 ， 快 点 ！	it might be our little r2 unit . hit the accelerator
停 ！ 你 去 哪 里 ？	where do you think you 're going ?
卢 克 才 是 你 的 主 人 	master luke is your rightful owner now
别 扯 什 么 欧 比 王 了 	we 'll have no more of this obi-wan kenobi gibberish
也 别 提 什 么 任 务 的 事 	do n't talk to me of your mission either
